filepath,category,source
C:\Users\ajayp\Downloads\python\[FreeCoursesOnline.Me] Code With Mosh - Complete Python Mastery\4- Functions\5- Default Arguments.mp4,UI / Design,zero-shot(0.1314)
C:\Users\ajayp\Downloads\bDHquWl5k2q-lesson-1-blinking-led.htm,UI / Design,zero-shot(0.1315)
C:\Users\ajayp\Downloads\WINSEM2025-26_VL_BAMAT205_00100_TH_2026-03-12_CAT2-model-paper.pdf,Code / Terminal,zero-shot(0.1317)
C:\Users\ajayp\Downloads\python\[FreeCoursesOnline.Me] Code With Mosh - Complete Python Mastery\2- Primitive Types\2- Variable Names.mp4,UI / Design,zero-shot(0.1317)
C:\Users\ajayp\Downloads\3- Ternary Operator (2).mp4,Document / Article,zero-shot(0.1319)
C:\Users\ajayp\Downloads\python\[FreeCoursesOnline.Me] Code With Mosh - Complete Python Mastery\12- Building Web Applications with Django\16- Getting a Single Object.mp4,UI / Design,zero-shot(0.132)
C:\Users\ajayp\Downloads\3- Ternary Operator (1).mp4,Document / Article,zero-shot(0.1323)
C:\Users\ajayp\Downloads\25BCE2065_VL2025260106281_AST03.pdf,Chart / Data,zero-shot(0.1332)
C:\Users\ajayp\Downloads\Assessment 3.docx,Chart / Data,zero-shot(0.1332)
C:\Users\ajayp\Downloads\Assessment 3.pdf,Chart / Data,zero-shot(0.1332)
C:\Users\ajayp\Downloads\13- The Object Class.mp4,Code / Terminal,zero-shot(0.1337)
C:\Users\ajayp\Downloads\python\[FreeCoursesOnline.Me] Code With Mosh - Complete Python Mastery\7- Classes\13- The Object Class.mp4,Code / Terminal,zero-shot(0.1337)
C:\Users\ajayp\Downloads\6- Raising Exceptions.mp4,Other,zero-shot(0.1341)
C:\Users\ajayp\Downloads\python\[FreeCoursesOnline.Me] Code With Mosh - Complete Python Mastery\6- Exceptions\6- Raising Exceptions.mp4,Other,zero-shot(0.1341)
C:\Users\ajayp\Downloads\BMAT205L-CAT-2-C2-2024-2025.pdf,Chart / Data,zero-shot(0.1343)
C:\Users\ajayp\Downloads\A.pdf,ID / Sensitive,zero-shot(0.1347)
C:\Users\ajayp\Downloads\BAPHY105-CAT-1-C1-2025-2026.pdf,ID / Sensitive,zero-shot(0.1348)
C:\Users\ajayp\Downloads\Expense Tracker\.git\hooks\push-to-checkout.sample,UI / Design,zero-shot(0.1348)
C:\Users\ajayp\Downloads\WhatsApp Image 2026-06-11 at 10.39.32 PM.jpeg,Chat / Messages,zero-shot(0.135)
C:\Users\ajayp\Downloads\20- Duck Typing.mp4,Chat / Messages,zero-shot(0.1352)
C:\Users\ajayp\Downloads\python\[FreeCoursesOnline.Me] Code With Mosh - Complete Python Mastery\7- Classes\20- Duck Typing.mp4,Chat / Messages,zero-shot(0.1352)
C:\Users\ajayp\Downloads\WINSEM2025-26_VL_BAENG101_00100_ETH_2026-01-10_Taxonomy-of-Technical-Communication.pptx,UI / Design,zero-shot(0.1353)
C:\Users\ajayp\Downloads\BAPHY105-FAT-D1-2025-2026.pdf,Code / Terminal,zero-shot(0.1355)
C:\Users\ajayp\Downloads\FALLSEM2025-26_VL_BAEEE101_00100_ETH_2025-10-28_RECTIFIER.pdf,Document / Article,zero-shot(0.1355)
C:\Users\ajayp\Downloads\FALLSEM2025-26_VL_BAEEE101_00100_ETH_2025-11-10_ELECTROMAGNETIC-SPECTRUM.pdf,UI / Design,zero-shot(0.136)
C:\Users\ajayp\Downloads\9- Working with Timestamps.mp4,Other,zero-shot(0.1361)
C:\Users\ajayp\Downloads\python\[FreeCoursesOnline.Me] Code With Mosh - Complete Python Mastery\9- Python Standard Library\9- Working with Timestamps.mp4,Other,zero-shot(0.1361)
C:\Users\ajayp\Downloads\3- Handling Different Exceptions.mp4,UI / Design,zero-shot(0.1362)
C:\Users\ajayp\Downloads\python\[FreeCoursesOnline.Me] Code With Mosh - Complete Python Mastery\6- Exceptions\3- Handling Different Exceptions.mp4,UI / Design,zero-shot(0.1362)
C:\Users\ajayp\Downloads\BMAT205L-CAT-1-C2-2024-2025.pdf,Chart / Data,zero-shot(0.1363)
C:\Users\ajayp\Downloads\FALLSEM2025-26_VL_BAEEE101_00100_ETH_2025-10-28_PN-Junction-Diode-and-Zener-Diode.pptx,UI / Design,zero-shot(0.1366)
C:\Users\ajayp\Downloads\vtop-captcha-solver.zip,UI / Design,zero-shot(0.1367)
C:\Users\ajayp\Downloads\21- Generator Expressions.mp4,Other,zero-shot(0.1368)
C:\Users\ajayp\Downloads\python\[FreeCoursesOnline.Me] Code With Mosh - Complete Python Mastery\5- Data Structures\21- Generator Expressions.mp4,Other,zero-shot(0.1368)
C:\Users\ajayp\Downloads\WINSEM2025-26_VL_BACSE105_00100_ETH_2026-03-13_BACK-TRACKING---N-QUEENS.pdf,UI / Design,zero-shot(0.137)
C:\Users\ajayp\Downloads\BAPHY105-CAT-1-D1-2025-2026.pdf,Code / Terminal,zero-shot(0.1371)
C:\Users\ajayp\Downloads\16- Multiple Inheritance.mp4,Chart / Data,zero-shot(0.1375)
C:\Users\ajayp\Downloads\FALLSEM2025-26_VL_BAEEE101_00100_ETH_2025-08-08_SINGLE-PHASE-TRANSFORMER.pdf,Code / Terminal,zero-shot(0.1375)
C:\Users\ajayp\Downloads\python\[FreeCoursesOnline.Me] Code With Mosh - Complete Python Mastery\7- Classes\16- Multiple Inheritance.mp4,Chart / Data,zero-shot(0.1375)
C:\Users\ajayp\Downloads\WhatsApp Image 2025-09-21 at 23.44.11_3b7526b1.jpg,Chart / Data,zero-shot(0.1376)
C:\Users\ajayp\Downloads\14- Method Overriding.mp4,UI / Design,zero-shot(0.1377)
C:\Users\ajayp\Downloads\python\[FreeCoursesOnline.Me] Code With Mosh - Complete Python Mastery\7- Classes\14- Method Overriding.mp4,UI / Design,zero-shot(0.1377)
C:\Users\ajayp\Downloads\NotebookLM Mind Map.png,Code / Terminal,zero-shot(0.1378)
C:\Users\ajayp\Downloads\BAPHY105-FAT-C1-2025-2026 (1).pdf,Document / Article,zero-shot(0.1381)
C:\Users\ajayp\Downloads\BAPHY105-FAT-C1-2025-2026.pdf,Document / Article,zero-shot(0.1381)
C:\Users\ajayp\Downloads\Vikash_Resume_Updated.pdf,UI / Design,zero-shot(0.1381)
C:\Users\ajayp\Downloads\7- Cost of Raising Exceptions.mp4,Chart / Data,zero-shot(0.1385)
C:\Users\ajayp\Downloads\python\[FreeCoursesOnline.Me] Code With Mosh - Complete Python Mastery\6- Exceptions\7- Cost of Raising Exceptions.mp4,Chart / Data,zero-shot(0.1385)
C:\Users\ajayp\Downloads\BAMAT205_DISCRETE-MATHEMATICS-AND-LINEAR-ALGEBRA_TH_1.0_0_BAMAT205 (1).pdf,Document / Article,zero-shot(0.1387)
C:\Users\ajayp\Downloads\BAMAT205_DISCRETE-MATHEMATICS-AND-LINEAR-ALGEBRA_TH_1.0_0_BAMAT205.pdf,Document / Article,zero-shot(0.1387)
C:\Users\ajayp\Downloads\3- Ternary Operator.mp4,Chart / Data,zero-shot(0.1388)
C:\Users\ajayp\Downloads\python\[FreeCoursesOnline.Me] Code With Mosh - Complete Python Mastery\3- Control Flow\3- Ternary Operator.mp4,Chart / Data,zero-shot(0.1388)
C:\Users\ajayp\Downloads\4- Working with Files.mp4,UI / Design,zero-shot(0.1389)
C:\Users\ajayp\Downloads\python\[FreeCoursesOnline.Me] Code With Mosh - Complete Python Mastery\9- Python Standard Library\4- Working with Files.mp4,UI / Design,zero-shot(0.1389)
C:\Users\ajayp\Downloads\FALLSEM2025-26_VL_BAEEE101_00100_ETH_2025-10-28_Operational-Amplifiers.pptx,Other,zero-shot(0.1391)
C:\Users\ajayp\Downloads\FALLSEM2025-26_VL_BAEEE101_00100_ETH_2025-11-10_MOSFET.pdf,ID / Sensitive,zero-shot(0.1391)
C:\Users\ajayp\Downloads\python\[FreeCoursesOnline.Me] Code With Mosh - Complete Python Mastery\13- Machine Learning with Python\6- A Real Machine Learning Problem.mp4,Code / Terminal,zero-shot(0.1393)
C:\Users\ajayp\Downloads\4- Keyword Arguments.mp4,UI / Design,zero-shot(0.1395)
C:\Users\ajayp\Downloads\python\[FreeCoursesOnline.Me] Code With Mosh - Complete Python Mastery\4- Functions\4- Keyword Arguments.mp4,UI / Design,zero-shot(0.1395)
C:\Users\ajayp\Downloads\BMAT205L-CAT-1-A2-2024-2025.pdf,Chart / Data,zero-shot(0.1397)
C:\Users\ajayp\Downloads\FALLSEM2025-26_VL_BACHY105_00100_ETH_2025-08-05_Module-1_-Thermodynamics-and-kinetics.pptx,Other,zero-shot(0.1397)
C:\Users\ajayp\Downloads\ilovepdf_merged.pdf,UI / Design,zero-shot(0.1398)
C:\Users\ajayp\Downloads\Make a detailed notes of this.pdf,UI / Design,zero-shot(0.1398)
C:\Users\ajayp\Downloads\Module5-part-1.pdf,UI / Design,zero-shot(0.14)
C:\Users\ajayp\Downloads\NoteGPT_FLOWCARD_ilovepdf_merged.pdf.png,Document / Article,zero-shot(0.1401)
C:\Users\ajayp\Downloads\HASHING.pdf,Document / Article,zero-shot(0.1405)
C:\Users\ajayp\Downloads\FALLSEM2025-26_VL_BAPHY105_00100_ETH_2025-07-27_Module-1-Merged-Wave-Particle-Duality-.pdf,Document / Article,zero-shot(0.1406)
C:\Users\ajayp\Downloads\dokumen.pub_higher-engineering-mathematics-by-dr-bs-grewal-9788193328491.pdf,Document / Article,zero-shot(0.1407)
C:\Users\ajayp\Downloads\17- A Good Example of Inheritance.mp4,Document / Article,zero-shot(0.1409)
C:\Users\ajayp\Downloads\WINSEM2025-26_VL_BAMAT205_00100_TH_2026-03-13_Module-4---Vector-Spaces-and-Subspaces.pdf,UI / Design,zero-shot(0.1409)
C:\Users\ajayp\Downloads\python\[FreeCoursesOnline.Me] Code With Mosh - Complete Python Mastery\7- Classes\17- A Good Example of Inheritance.mp4,Document / Article,zero-shot(0.1409)
C:\Users\ajayp\Downloads\2- Working With Paths.mp4,UI / Design,zero-shot(0.1413)
C:\Users\ajayp\Downloads\python\[FreeCoursesOnline.Me] Code With Mosh - Complete Python Mastery\9- Python Standard Library\2- Working With Paths.mp4,UI / Design,zero-shot(0.1413)
C:\Users\ajayp\Downloads\BMAT205L-CAT-2-A2-2024-2025.pdf,Document / Article,zero-shot(0.1416)
C:\Users\ajayp\Downloads\Vikash_Resume_Updated.docx,UI / Design,zero-shot(0.1416)
C:\Users\ajayp\Downloads\python\[FreeCoursesOnline.Me] Code With Mosh - Complete Python Mastery\2- Primitive Types\1- Variables.mp4,Chart / Data,zero-shot(0.1416)
C:\Users\ajayp\Downloads\15- Multi-level Inheritance.mp4,Chart / Data,zero-shot(0.1419)
C:\Users\ajayp\Downloads\FALLSEM2025-26_VL_BAEEE101_00100_ETH_2025-08-10_INDUCTION-MOTORS.pdf,Chat / Messages,zero-shot(0.1419)
C:\Users\ajayp\Downloads\python\[FreeCoursesOnline.Me] Code With Mosh - Complete Python Mastery\7- Classes\15- Multi-level Inheritance.mp4,Chart / Data,zero-shot(0.1419)
C:\Users\ajayp\Downloads\Here are the detailed notes from the provided document_removed.pdf,Document / Article,zero-shot(0.1421)
C:\Users\ajayp\Downloads\TaskMarket-main.zip,Chart / Data,zero-shot(0.1423)
C:\Users\ajayp\Downloads\WINSEM2025-26_VL_BAENG101_00100_ETH_2026-04-16_Taxonomy-of-Technical-Writing-Scientific-Writing_-Technical-Reporting.pdf,Code / Terminal,zero-shot(0.1423)
C:\Users\ajayp\Downloads\NoteGPT_FLOWCARD_Module 2.pdf.png,Social Media,zero-shot(0.1424)
"C:\Users\ajayp\Downloads\House, Donald_ Keyser, John C - Foundations of physically based modeling and animation-A K Peters_CRC Press (2017).pdf",Code / Terminal,zero-shot(0.1426)
C:\Users\ajayp\Downloads\3- Working with Directories.mp4,UI / Design,zero-shot(0.1429)
C:\Users\ajayp\Downloads\5- Short-circuit Evaluation.mp4,Document / Article,zero-shot(0.1429)
C:\Users\ajayp\Downloads\python\[FreeCoursesOnline.Me] Code With Mosh - Complete Python Mastery\3- Control Flow\5- Short-circuit Evaluation.mp4,Document / Article,zero-shot(0.1429)
C:\Users\ajayp\Downloads\python\[FreeCoursesOnline.Me] Code With Mosh - Complete Python Mastery\9- Python Standard Library\3- Working with Directories.mp4,UI / Design,zero-shot(0.1429)
C:\Users\ajayp\Downloads\FALLSEM2025-26_VL_BAEEE101_00100_ETH_2025-08-12_Concepts-of-Power-Electronics.pptx,UI / Design,zero-shot(0.143)
C:\Users\ajayp\Downloads\python\[FreeCoursesOnline.Me] Code With Mosh - Complete Python Mastery\13- Machine Learning with Python\3- Libraries and Tools.mp4,UI / Design,zero-shot(0.143)
C:\Users\ajayp\Downloads\Gemini_Generated_Image_odwmi0odwmi0odwm.png,UI / Design,zero-shot(0.1431)
C:\Users\ajayp\Downloads\FALLSEM2025-26_VL_BAEEE101_00100_ETH_2025-11-06_PN-_-Zener-Diode.pptx,UI / Design,zero-shot(0.1432)
C:\Users\ajayp\Downloads\BACSE103-CAT-1-D1-2025-2026.pdf,Code / Terminal,zero-shot(0.1433)
C:\Users\ajayp\Downloads\Torrent File.torrent,Document / Article,zero-shot(0.1435)
C:\Users\ajayp\Downloads\Definition_BAENG.pdf,Chat / Messages,zero-shot(0.1437)
C:\Users\ajayp\Downloads\BAPHY105-CAT-2-C1-2025-2026 (3).pdf,Document / Article,zero-shot(0.1438)
C:\Users\ajayp\Downloads\BAPHY105-CAT-2-C1-2025-2026.pdf,Document / Article,zero-shot(0.1438)
C:\Users\ajayp\Downloads\anki-26.05-win-x64.msi,UI / Design,zero-shot(0.1439)
C:\Users\ajayp\Downloads\WINSEM2025-26_VL_BACSE105_00100_ETH_2026-03-13_BACK-TRACKING-GRAPH-COLORING.pptx,UI / Design,zero-shot(0.1439)
C:\Users\ajayp\Downloads\List of Approved SWAYAM NPTEL courses for Fall2026.pdf,Document / Article,zero-shot(0.1442)
C:\Users\ajayp\Downloads\BMAT205L-CAT-1-C1-2024-2025.pdf,Chart / Data,zero-shot(0.1444)
C:\Users\ajayp\Downloads\FALLSEM2025-26_VL_BAEEE101_00100_ETH_2025-11-11_BJT.pdf,UI / Design,zero-shot(0.1444)
C:\Users\ajayp\Downloads\ajay-pranav-25bce2065.pdf,Document / Article,zero-shot(0.1445)
C:\Users\ajayp\Downloads\WINSEM2025-26_VL_BAMAT205_00100_TH_2026-01-14_CAT-1-Model-QP.pdf,Code / Terminal,zero-shot(0.1445)
C:\Users\ajayp\Downloads\WINSEM2025-26_VL_BAMAT205_00100_TH_2026-01-19_CAT-I-Model-QP.pdf,Code / Terminal,zero-shot(0.1445)
C:\Users\ajayp\Downloads\WINSEM2025-26_VL_BAMAT205_00100_TH_2026-01-22_Model-Question-CAT-I.pdf,Code / Terminal,zero-shot(0.1445)
C:\Users\ajayp\Downloads\ASSIGNMENT (1).pdf,Code / Terminal,zero-shot(0.1447)
C:\Users\ajayp\Downloads\ASSIGNMENT.pdf,Code / Terminal,zero-shot(0.1447)
C:\Users\ajayp\Downloads\protfolio.pdf,Document / Article,zero-shot(0.1447)
C:\Users\ajayp\Downloads\7- The dir Function.mp4,Other,zero-shot(0.1448)
C:\Users\ajayp\Downloads\WINSEM2025-26_VL_BAENG101_00100_ETH_2025-12-15_Module-2-_-Grammar-(Concord_-Conditionals_-Tenses_-Voice).pdf,Document / Article,zero-shot(0.1448)
C:\Users\ajayp\Downloads\python\[FreeCoursesOnline.Me] Code With Mosh - Complete Python Mastery\8- Modules\7- The dir Function.mp4,Other,zero-shot(0.1448)
C:\Users\ajayp\Downloads\ASSIGNMENT (2).pdf,UI / Design,zero-shot(0.1449)
C:\Users\ajayp\Downloads\Vikash_Resume.pdf,UI / Design,zero-shot(0.1449)
C:\Users\ajayp\Downloads\VL2025260106281_AST01.pdf,Chart / Data,zero-shot(0.1453)
C:\Users\ajayp\Downloads\VL2025260106281_AST02.pdf,Chart / Data,zero-shot(0.1453)
C:\Users\ajayp\Downloads\python\[FreeCoursesOnline.Me] Code With Mosh - Complete Python Mastery\5- Data Structures\19- Dictionaries.mp4,Document / Article,zero-shot(0.1454)
C:\Users\ajayp\Downloads\RES1.pdf,Chat / Messages,zero-shot(0.1458)
C:\Users\ajayp\Downloads\RESUME.pdf,Chat / Messages,zero-shot(0.1458)
C:\Users\ajayp\Downloads\make a detailed notes.pdf,Code / Terminal,zero-shot(0.1462)
C:\Users\ajayp\Downloads\transaction_summary.csv,Chart / Data,zero-shot(0.1464)
C:\Users\ajayp\Downloads\VL2025260106281_AST04.pdf,Document / Article,zero-shot(0.1464)
C:\Users\ajayp\Downloads\Ditto Clipboard Installer.exe,Chat / Messages,zero-shot(0.1467)
C:\Users\ajayp\Downloads\os_mcq_quiz.html,UI / Design,zero-shot(0.1467)
C:\Users\ajayp\Downloads\2- Handling Exceptions.mp4,Code / Terminal,zero-shot(0.1468)
C:\Users\ajayp\Downloads\arduino_led_push_button-1024x505.png,UI / Design,zero-shot(0.1468)
C:\Users\ajayp\Downloads\python\[FreeCoursesOnline.Me] Code With Mosh - Complete Python Mastery\6- Exceptions\2- Handling Exceptions.mp4,Code / Terminal,zero-shot(0.1468)
C:\Users\ajayp\Downloads\assessment 1.circ,Document / Article,zero-shot(0.1472)
C:\Users\ajayp\Downloads\kashmir-scenic-retreat-group-departure-tours-package-pdf.pdf,UI / Design,zero-shot(0.1472)
C:\Users\ajayp\Downloads\NoteGPT_FLOWCARD_Module 3- Nanomaterials.pdf.png,UI / Design,zero-shot(0.1472)
C:\Users\ajayp\Downloads\python\[FreeCoursesOnline.Me] Code With Mosh - Complete Python Mastery\5- Data Structures\4- Looping over Lists.mp4,UI / Design,zero-shot(0.1472)
C:\Users\ajayp\Downloads\FALLSEM2025-26_VL_BAEEE101_00100_ETH_2025-09-27_Characteristics-of-PN-Junction-Diode_-Zener-Diode_-BJT.pdf,Document / Article,zero-shot(0.1473)
C:\Users\ajayp\Downloads\intro to phy.html,UI / Design,zero-shot(0.1473)
C:\Users\ajayp\Downloads\6- Magic Methods.mp4,UI / Design,zero-shot(0.1474)
C:\Users\ajayp\Downloads\WINSEM2025-26_VL_BAMAT205_00100_TH_2026-03-13_Module-4---Vector-Spaces-and-Subspaces (1).pdf,Document / Article,zero-shot(0.1474)
C:\Users\ajayp\Downloads\python\[FreeCoursesOnline.Me] Code With Mosh - Complete Python Mastery\7- Classes\6- Magic Methods.mp4,UI / Design,zero-shot(0.1474)
C:\Users\ajayp\Downloads\WINSEM2025-26_VL_BAPHY105_00100_ETH_2026-04-11_FAT-Question-Paper-Blueprint-(April-2026)----C2_TC2-Slot.pdf,Code / Terminal,zero-shot(0.1478)
C:\Users\ajayp\Downloads\compassesment2.docx,Document / Article,zero-shot(0.1479)
C:\Users\ajayp\Downloads\python\[FreeCoursesOnline.Me] Code With Mosh - Complete Python Mastery\2- Primitive Types\4- Escape Sequences.mp4,Other,zero-shot(0.1479)
C:\Users\ajayp\Downloads\9- Docstrings.mp4,UI / Design,zero-shot(0.148)
C:\Users\ajayp\Downloads\python\[FreeCoursesOnline.Me] Code With Mosh - Complete Python Mastery\10- Python Package Index\9- Docstrings.mp4,UI / Design,zero-shot(0.148)
C:\Users\ajayp\Downloads\Expense Tracker\.git\hooks\applypatch-msg.sample,UI / Design,zero-shot(0.148)
C:\Users\ajayp\Downloads\ilovepdf_merged (2)_merged.pdf,Code / Terminal,zero-shot(0.1484)
C:\Users\ajayp\Downloads\assesment20feb.cpp,Other,zero-shot(0.1487)
C:\Users\ajayp\Downloads\FALLSEM2026-27_VL_BAMAT207_00100_ETH_2026-07-10_1Probability-and-Random-Variables.pdf,Chart / Data,zero-shot(0.1487)
C:\Users\ajayp\Downloads\WhatsApp Image 2025-08-30 at 15.35.56_c210d085.jpg,Other,zero-shot(0.1488)
C:\Users\ajayp\Downloads\WhatsApp Image 2025-09-28 at 11.00.13_d7c0d50b.jpg,Chart / Data,zero-shot(0.1488)
C:\Users\ajayp\Downloads\NoteGPT_FLOWCARD_Module 2.pdf (2).png,Other,zero-shot(0.1489)
C:\Users\ajayp\Downloads\BCSE202L-CAT-1-F1-2022-2023.pdf,Code / Terminal,zero-shot(0.1492)
C:\Users\ajayp\Downloads\vit-lms-extension\vit-lms-extension\icons\icon128.png,Other,zero-shot(0.1494)
C:\Users\ajayp\Downloads\WINSEM2025-26_VL_BACSE106_00100_ETH_2026-01-17_Processes_-Threads_-CPU-Scheduling.pptx,Chart / Data,zero-shot(0.1499)
C:\Users\ajayp\Downloads\7- Comparing Objects.mp4,UI / Design,zero-shot(0.1501)
C:\Users\ajayp\Downloads\StudentGradeHistory_25BCE2065.pdf,Document / Article,zero-shot(0.1501)
C:\Users\ajayp\Downloads\python\[FreeCoursesOnline.Me] Code With Mosh - Complete Python Mastery\7- Classes\7- Comparing Objects.mp4,UI / Design,zero-shot(0.1501)
C:\Users\ajayp\Downloads\25BCE2065_VL2025260107746_AST06.pdf,Document / Article,zero-shot(0.1505)
C:\Users\ajayp\Downloads\Image Caption Generation using AI (1).pdf,Document / Article,zero-shot(0.1505)
C:\Users\ajayp\Downloads\Image Caption Generation using AI.docx,Document / Article,zero-shot(0.1505)
C:\Users\ajayp\Downloads\Image Caption Generation using AI.pdf,Document / Article,zero-shot(0.1505)
C:\Users\ajayp\Downloads\WINSEM2025-26_VL_BAPHY105_00100_ETH_2025-12-18_Module-1-.pdf,Code / Terminal,zero-shot(0.1506)
C:\Users\ajayp\Downloads\python\[FreeCoursesOnline.Me] Code With Mosh - Complete Python Mastery\13- Machine Learning with Python\2- Machine Learning in Action.mp4,Code / Terminal,zero-shot(0.1507)
C:\Users\ajayp\Downloads\M5-Part2--Quadratic-Forms.pdf,Chart / Data,zero-shot(0.1509)
C:\Users\ajayp\Downloads\WINSEM2025-26_VL_BACSE105_00100_ETH_2026-02-24_MODULE-2---HASHING.ppt,Other,zero-shot(0.1509)
C:\Users\ajayp\Downloads\WINSEM2025-26_VL_BAMAT205_00100_TH_2026-04-10_M5---Quadratic-Forms.pdf,Chart / Data,zero-shot(0.1509)
C:\Users\ajayp\Downloads\25BCE2065_VL2025260503921_AST03.pdf,Chat / Messages,zero-shot(0.1511)
C:\Users\ajayp\Downloads\GD ENG.pdf,Chat / Messages,zero-shot(0.1511)
C:\Users\ajayp\Downloads\GD ENG_merged.pdf,Chat / Messages,zero-shot(0.1511)
C:\Users\ajayp\Downloads\CaseStudy5_FoodDelivery.docx,UI / Design,zero-shot(0.1513)
C:\Users\ajayp\Downloads\FALLSEM2025-26_VL_BAEEE101_00100_ETH_2025-11-08_bjt.pdf,Code / Terminal,zero-shot(0.1513)
C:\Users\ajayp\Downloads\FALLSEM2025-26_VL_BAEEE101_00100_ETH_2025-11-08_mosfet.pdf,Code / Terminal,zero-shot(0.1513)
C:\Users\ajayp\Downloads\FALLSEM2025-26_VL_BAEEE101_00100_ETH_2025-11-11_Electromagnetic-spectrum (1).pdf,Code / Terminal,zero-shot(0.1513)
C:\Users\ajayp\Downloads\FALLSEM2025-26_VL_BAEEE101_00100_ETH_2025-11-11_Electromagnetic-spectrum.pdf,Code / Terminal,zero-shot(0.1513)
C:\Users\ajayp\Downloads\Microsoft PowerToys Installer.exe,Code / Terminal,zero-shot(0.1514)
C:\Users\ajayp\Downloads\blueprintnav.zip,UI / Design,zero-shot(0.1515)
C:\Users\ajayp\Downloads\Thotta Naa Pattasa SLOWMO Version - Dude _ Pradeep Ranganathan _ Sai Abhyankkar.mp3,UI / Design,zero-shot(0.1517)
C:\Users\ajayp\Downloads\Expense Tracker\.git\hooks\pre-commit.sample,Code / Terminal,zero-shot(0.1518)
C:\Users\ajayp\Downloads\transaction_summary.xlsx,Chart / Data,zero-shot(0.1522)
C:\Users\ajayp\Downloads\25BCE2065_VL2025260505008_AST07.pdf,Document / Article,zero-shot(0.1526)
C:\Users\ajayp\Downloads\BFS AND DFS.pdf,Document / Article,zero-shot(0.1526)
C:\Users\ajayp\Downloads\Module_5_Final_PPT-IVA.pdf,Code / Terminal,zero-shot(0.1526)
C:\Users\ajayp\Downloads\WINSEM2025-26_VL_BAENG101_00100_ETH_2025-12-18_The-nature-of-technical-writing-_-Taxonomy-of-technical-Writing_-Scientific-Writing-_-Technical-Reporting-_-Business-Communication-_-5C's--.pdf,Code / Terminal,zero-shot(0.1528)
